Name	Primary homeland	Subgroups
Gurunsi	Burkina Faso, Ghana, Togo	Lukpa, Kabye, Tem, Lamba, Delo, Bago-Kusuntu, Chala, Lyele, Nuna, Kalamse, Pana, Kassena, Winye, Deg, Puguli, Paasaal, Sisaala, Chakali, Siti, Tamprusi, Vagla
Hadiya	Hadiya 	
Han	China	Subei, Cantonese , Fujianese , Gaoshan Han, Gan, Hakka , Hebei, Hunanese, Jianghuai, Shandong, Sichuanese, Wu , Han Taiwanese, ,  , Malaysia , Singapore, Thailand, indonesia, Myanmar, Canada,  Philippines , Peru, australia, Vietnam, Japan, Russia, France,  United Kingdom, South africa, italy, Germany, Korea, Spain, india, Laos, Brazil,  Netherlands, Panama, , New Zealand
Hani	Yunnan 	
Harari	Hararia 	
Hausa	Hausal, 	
Hawaiians	Hawaii 	
Hazaras	Hazarajat 	aimaq Hazara, Hazara australians
Herero	Hererol, , angola	OvaHimba, Ovambanderu
Hmong	Guizhou 	a-Hmao, Gha-Mu, Xong, Pa-Hng, Hmong americans
Hui	Northwest China 	Dungan, Panthays
Huli	Southern Highlands Province 	
Hungarians	Hungary, Szekely Land, Felvidek	Jasz, Paloc, , Romania, Slovakia, Serbia, Ukraine, Croatia, Slovenia, Germany,  , , Canada
Hutu	Rwanda, Burundi, Kivu	
iban	Sarawak 	Mualang
ibanag	Philippines 	
ibibio	akwa ibom State 	Eket, aro
icelanders	iceland	
idoma	Benue State 	agatu, alago, Yala
igbo	igbol, 	anioma, aro, Edda, Ekpeye, Etche, Ezaa, ika, ikwerre, ikwo, isu, izzi, Mbaise, Mgbo, Ngwa, Nri-igbo, Ogba, Ohafia, Ohuhu, Onitsha-ado, Ukwuani, Waawa, antiguans , Barbudans
igede	Benue State 	
igorot	Cordillera administrative Region 	Balangao, Bontoc, ibaloi, ifugao , isnag, Kalinga, Kankanaey
ijaw	Nigeria 	Bille, Engenni, ibani, Kalabari, Kula, Nkoro, Nkoroo, Obolo
ilocano	ilocos Region 	
ingush	ingushetia 	
inuit	Greenl, , Canada , alaska	Greenlandics , inupiat, inuktitut, inuvialuit
iranun	Mindanao 	
irish	irel, 	irish Travellers, Ulster irish, , significant populationsin  , australia, Canada, argentina, Mexico, New Zealand
iroquois	United States, Canada	Mohawk, Oneida, Onondaga, Cayuga, Seneca, Tuscarora
isan	isan 	
isoko	isoko region 	
italians	italy, Ticino 	Sicilians, Waldensians, Lazians, Marchigianos, Tuscans, Umbrians, Emilian, Romagnol , Trentinis, Ligurians , Lombards, Piedmontese, apulians, Calabrians, Neapolitans , Venetians , argentina, Brazil,  , Venezuela, Canada, France, Peru, Uruguay, australia, Germany, Chile ,  United Kingdom
itawes	Cagayan Valley 	
Japanese	Japan	Kante, Kansai, Hokkaido, Tehoku, Henichi, Satsuge, Chegoku, Echigo, Tekai, Shinshuu, Hokuriku, Hachije, , Brazil,   ,  Philippines.
Jarai	Central Highlands 	
Javanese	Java 	Cirebonese, Osing, Tenggerese, Boyanese, Samin, Banyumasan, , Malaysia, Suriname, China, , Saudi arabia
Jews	israel	ashkenazim, Sephardim , Mizrahim , Teimanim, Beta israel, italkim, Romaniotes, Juhurim, Krymchaks, Bene israel, Cochin, Lishanid Noshan, israelis, ,  , France, Canada,  United Kingdom, argentina, Russia, Germany, , australia
Jingpo	Kachin State , Yunnan 	
Jola	Jolal, 	Banjaal, Bayot, Fogni, Gusilay, Karon, Kasa, Kuwaataay, Mlomp
Jukun	Wukari 	Wannu
Kadazan-Dusun	Sabah 	Kadazan, Dusun, Dumpas, idaean, Kwijau, Lotud, Mangkaeak, Maragang, Minokok, Orang Sungai, Rumanau, Rungus, Tambanuo
Kalanga	Zimbabwe, Botswana	Nambya
Kalenjin	Rift Valley Province 	Keiyo, Tugen, Marakwet, Nandi, Kipsigis, Sabaot, Pokoot, Okiek, Terik
Kamba	Ukambani 	afro-Paraguayans
Kanaks	Kanakia 	Haveke, ajie, arha, Xaragure, Haeke
Kannadigas	Karnataka 	Vokkaliga
Kanuri	Kanuril, 	Kanembu, Yerwa Kanuri
Kapampangans	Pampanga 	
Kapsiki	Mandara Mountains	
Karachays	Karachay-Cherkessia	
Karakalpaks	Karakalpakstan	
Karbi	Karbi anglong district 	amri
Karen	Karen State , Thailand	Segaw Karen, Pwo Karen, Karenni 
Kashmiris	Kashmir 	Kashmiri Pandits, Kashmiris of Punjab
Kashubians	Kashubia 	
Kazakhs	Kazakhstan	China, , Russia
Khas	Nepal, Uttarakh, 	Chhetri, Bahun, Kami, Damai, Sarki, Gandarbha, Thakuri, Badi
Khmer	Cambodia	  , Vietnam
Khonds	Kandhamal 	
Khorasani Turks	Khorasan 	
Kikuyu	Kenya	
Kilba	Hong 	
Kirati	Eastern Development Region 	Limbu, Sunuwar, Yakkha , Rai 
Kissi	Guinea, Sierra Leone	
